Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Collision Type Description,Weather Description,Illumination Description,Street Address,City,State,Precinct,Lat,Long,HarmfulCodes,HarmfulDescriptions,ObjectId,Zip Code,RPA,Weather,IlluACCIDEmination,Collision Type,Reporting Officer,x,y
20180000302,1/1/2018 8:31:00 AM,2,1,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,UNA ANTIOCH PKE & RICHARDS RD,ANTIOCH,TN,SOUTH,36.06723,-86.66167,12,MOTOR VEHICLE IN TRANSPORT,31,37013,8861,21,3,11,279212,-9647132.9757,4309876.0639
20180000342,1/1/2018 6:00:00 AM,2,0,0,,N,Front to Rear,CLEAR,DARK - NOT LIGHTED,MM 217 6 I 40,NASHVILLE,TN,HERMIT,36.14157,-86.65372,12,MOTOR VEHICLE IN TRANSPORT,32,37214,94040,21,2,11,256444,-9646247.9857,4320118.7115
20180000391,1/1/2018 6:00:00 AM,1,0,0,Y,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,NORTHCREST DR & NORTHCREST COMMONS CIR,NASHVILLE,TN,MIDTOW,36.0663,-86.72194,1;64,Ran Off Road-Left,33,37211,8659,21,3,0,279200,-9653842.2014,4309747.9888
20180000455,1/1/2018 7:20:00 AM,2,0,0,,Y,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,MM 220 6 I 40,HERMITAGE,TN,HERMIT,36.16949,-86.60554,12,MOTOR VEHICLE IN TRANSPORT,34,37076,89042,21,3,5,728059,-9640884.6127,4323968.0664
20180000464,1/1/2018 6:49:00 AM,2,0,0,,N,ANGLE,CLEAR,DARK - LIGHTED,HOBBS RD & ESTES RD,NASHVILLE,TN,WEST,36.10303,-86.8383,12,MOTOR VEHICLE IN TRANSPORT,35,37215,6117,21,3,4,493301,-9666795.3374,4314807.4177
20180000535,1/1/2018 9:42:00 AM,2,0,0,,Y,SIDESWIPE - OPPOSITE DIRECTION,CLEAR,DARK - LIGHTED,14TH AVN & CHURCH ST,NASHVILLE,TN,MIDTOW,36.15793,-86.79161,12,MOTOR VEHICLE IN TRANSPORT,36,37203,5517,21,3,6,902543,-9661597.8303,4322374.1128
20180000538,1/1/2018 6:00:00 AM,1,0,0,,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,MT VIEW RD & RURAL HILL RD,ANTIOCH,TN,SOUTH,36.05335,-86.65447,42;63,TREE;Ran Off Road-Right,37,37013,8871,21,2,0,192379,-9646331.4754,4307964.735
20180000556,1/1/2018 11:23:00 AM,2,2,0,,N,SIDESWIPE - OPPOSITE DIRECTION,CLEAR,DARK - LIGHTED,DICKERSON PKE & DICKERSON PKE ENT RAMP,MADISON,TN,MADISO,36.24196,-86.75708,13,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY,38,37115,2009,21,3,6,109543,-9657753.9683,4333965.974
20180000594,1/1/2018 11:35:00 AM,1,0,0,,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,MM 48 7 I 24,NASHVILLE,TN,CENTRA,36.16929,-86.76661,43,OTHER FIXED OBJECTS,39,37213,1104,21,3,0,212335,-9658814.8431,4323940.4874
20180000638,1/1/2018 7:19:00 AM,2,0,0,,Y,ANGLE,CLEAR,DARK - LIGHTED,TRAVELERS INN DR & HARDING PL,NASHVILLE,TN,SOUTH,36.08492,-86.70344,12,MOTOR VEHICLE IN TRANSPORT,40,37211,8705,21,3,4,192379,-9651782.7908,4312312.5332
